game,game_season,game_year,game_location,country_name,country_code,continent,language,religion,landmass,population,gdp,flag_nr_colors,flag_mainhue,flag_topleft_color,flag_botright_color,gold,silver,bronze
rome-1960,Summer,1960,Italy,Mexico,MEX,1973,Spanish,Christian,N.America,36724612,13040000000,4,green,green,red,0,0,1
rome-1960,Summer,1960,Italy,Morocco,MAR,447,Arabic,Muslim,Asia,11624932,2037154741.93211,2,red,red,red,0,1,0
rome-1960,Summer,1960,Italy,Netherlands,NLD,41,Other,Christian,Europe,11486909,13263458995.3869,3,red,red,blue,0,1,2
rome-1960,Summer,1960,Italy,New Zealand,NZL,NA,NA,NA,NA,2379483,5536098606.29231,NA,NA,NA,NA,2,0,1
rome-1960,Summer,1960,Italy,Norway,NOR,324,Other,Christian,Europe,3581119,5197398721.41367,3,red,red,red,1,0,0
rome-1960,Summer,1960,Italy,Pakistan,PAK,804,Other,Muslim,NA,45709314,3749265014.69971,2,green,white,green,1,0,1
rome-1960,Summer,1960,Italy,Poland,POL,313,Other,Other,Europe,29575967,NA,2,white,white,red,4,6,11
rome-1960,Summer,1960,Italy,Portugal,PRT,92,Other,Christian,Europe,8873224,3339150157.85605,5,red,green,red,0,1,0
rome-1960,Summer,1960,Italy,Romania,ROU,237,Other,Other,Europe,18313498,NA,7,red,blue,red,3,1,6
rome-1960,Summer,1960,Italy,Singapore,SGP,1,Chinese,Other,NA,1619328,704751700.302494,2,white,red,white,0,1,0
rome-1960,Summer,1960,Italy,South Africa,ZAF,NA,NA,NA,NA,16440173,8748596500.5614,NA,NA,NA,NA,0,1,2
rome-1960,Summer,1960,Italy,Soviet Union,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,29,31
rome-1960,Summer,1960,Italy,Spain,ESP,505,Spanish,Christian,Europe,30404938,12433394725.2159,2,red,red,red,0,0,1
rome-1960,Summer,1960,Italy,Sweden,SWE,450,Other,Christian,Europe,7484597,15953203852.6831,2,blue,blue,blue,1,2,3
rome-1960,Summer,1960,Italy,Switzerland,CHE,41,German,Christian,Europe,5327776,10412232620.5258,2,red,red,red,0,3,3
rome-1960,Summer,1960,Italy,Turkey,NA,781,Other,Muslim,NA,28329894,NA,2,red,red,red,7,2,0
rome-1960,Summer,1960,Italy,United Arab Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1
rome-1960,Summer,1960,Italy,United Kingdom,GBR,NA,NA,NA,NA,52538549,73233967692.1028,NA,NA,NA,NA,2,6,12
rome-1960,Summer,1960,Italy,United States,USA,NA,NA,NA,NA,180274554,541988586206.897,NA,NA,NA,NA,34,21,16
rome-1960,Summer,1960,Italy,Venezuela,NA,912,Spanish,Christian,S.America,8160085,NA,7,red,gold,red,0,0,1
rome-1960,Summer,1960,Italy,West Indies Federation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2
rome-1960,Summer,1960,Italy,Yugoslavia,NA,256,Other,Other,Europe,NA,NA,4,red,blue,red,1,1,0
innsbruck-1964,Winter,1964,Austria,Austria,AUT,84,German,Christian,Europe,7223393,9249879078.75759,2,red,red,red,4,5,3
innsbruck-1964,Winter,1964,Austria,Canada,CAN,9976,English,Christian,N.America,19321670,49503663836.3665,2,red,red,red,1,1,1
innsbruck-1964,Winter,1964,Austria,Czechoslovakia,NA,128,Other,Other,Europe,NA,NA,3,white,white,red,0,0,1
innsbruck-1964,Winter,1964,Austria,Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
innsbruck-1964,Winter,1964,Austria,Finland,FIN,337,Other,Christian,Europe,4549092,7848288358.27266,2,white,white,white,3,4,3
innsbruck-1964,Winter,1964,Austria,France,FRA,547,French,Christian,Europe,48319085,94007851047.3678,3,white,blue,red,3,4,0
innsbruck-1964,Winter,1964,Austria,Germany,DEU,NA,NA,NA,NA,75313477,122880200227.839,NA,NA,NA,NA,3,3,3
innsbruck-1964,Winter,1964,Austria,Italy,ITA,301,Other,Christian,Europe,51019579,65569646710.203,3,white,green,red,0,1,3
innsbruck-1964,Winter,1964,Austria,Netherlands,NLD,41,Other,Christian,Europe,12131887,20202316519.432,3,red,red,blue,1,1,0
innsbruck-1964,Winter,1964,Austria,Norway,NOR,324,Other,Christian,Europe,3694318,7206522121.80418,3,red,red,red,3,6,6
innsbruck-1964,Winter,1964,Austria,Soviet Union,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,7,6
innsbruck-1964,Winter,1964,Austria,Sweden,SWE,450,Other,Christian,Europe,7661190,22718426804.3529,2,blue,blue,blue,3,3,1
innsbruck-1964,Winter,1964,Austria,United Kingdom,GBR,NA,NA,NA,NA,54009131,94407558351.1616,NA,NA,NA,NA,1,0,0
innsbruck-1964,Winter,1964,Austria,United States,USA,NA,NA,NA,NA,192819456,684144620689.655,NA,NA,NA,NA,1,2,4
tokyo-1964,Summer,1964,Japan,Argentina,ARG,2777,Spanish,Christian,S.America,21769451,NA,2,blue,blue,blue,0,1,0
tokyo-1964,Summer,1964,Japan,Australia,AUS,7690,English,Christian,Oceania,11128257,23801123808.1798,3,blue,white,blue,6,2,10
tokyo-1964,Summer,1964,Japan,Bahamas,NA,19,English,Christian,N.America,141538,NA,3,blue,blue,blue,1,0,0
tokyo-1964,Summer,1964,Japan,Belgium,BEL,31,Other,Christian,Europe,9337682,16168044450.2523,3,gold,black,red,2,0,1
tokyo-1964,Summer,1964,Japan,Brazil,BRA,8512,Other,Christian,S.America,81488598,NA,4,green,green,green,0,0,1
tokyo-1964,Summer,1964,Japan,Bulgaria,BGR,111,Other,Other,Europe,8140078,NA,5,red,white,red,3,5,2
tokyo-1964,Summer,1964,Japan,Canada,CAN,9976,English,Christian,N.America,19321670,49503663836.3665,2,red,red,red,1,2,1
tokyo-1964,Summer,1964,Japan,Cuba,CUB,115,Spanish,Other,N.America,7866017,NA,3,blue,blue,blue,0,1,0
tokyo-1964,Summer,1964,Japan,Czechoslovakia,NA,128,Other,Other,Europe,NA,NA,3,white,white,red,5,6,3
tokyo-1964,Summer,1964,Japan,Denmark,DNK,43,Other,Christian,Europe,4721889,9677400984.90121,2,red,red,red,2,1,3
tokyo-1964,Summer,1964,Japan,Ethiopia,ETH,1222,Other,Christian,Asia,23666546,1984129185.46553,3,green,green,red,1,0,0
tokyo-1964,Summer,1964,Japan,Finland,FIN,337,Other,Christian,Europe,4549092,7848288358.27266,2,white,white,white,3,0,2
tokyo-1964,Summer,1964,Japan,France,FRA,547,French,Christian,Europe,48319085,94007851047.3678,3,white,blue,red,1,8,6
tokyo-1964,Summer,1964,Japan,Germany,DEU,NA,NA,NA,NA,75313477,122880200227.839,NA,NA,NA,NA,10,22,18
tokyo-1964,Summer,1964,Japan,Ghana,GHA,239,English,Other,Asia,7695743,1740845070.42254,4,red,red,green,0,0,1
tokyo-1964,Summer,1964,Japan,Hungary,HUN,93,Other,Other,Europe,10114375,NA,3,red,red,green,10,7,5
tokyo-1964,Summer,1964,Japan,India,IND,3268,Other,Other,NA,479229599,56480289940.9899,4,orange,orange,green,1,0,0
tokyo-1964,Summer,1964,Japan,Ireland,IRL,70,English,Christian,Europe,2857168,2851091646.43165,3,white,green,orange,0,0,1
tokyo-1964,Summer,1964,Japan,Islamic Republic of Iran,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2
tokyo-1964,Summer,1964,Japan,Italy,ITA,301,Other,Christian,Europe,51019579,65569646710.203,3,white,green,red,10,10,7
tokyo-1964,Summer,1964,Japan,Japan,JPN,372,Other,Other,NA,99890178,87490590817.9803,2,white,white,white,16,5,8
tokyo-1964,Summer,1964,Japan,Kenya,KEN,583,Other,Other,Asia,8973538,998759334.496266,4,red,black,green,0,0,1
tokyo-1964,Summer,1964,Japan,Mexico,MEX,1973,Spanish,Christian,N.America,41772052,20080000000,4,green,green,red,0,0,1
tokyo-1964,Summer,1964,Japan,Netherlands,NLD,41,Other,Christian,Europe,12131887,20202316519.432,3,red,red,blue,2,4,4
tokyo-1964,Summer,1964,Japan,New Zealand,NZL,NA,NA,NA,NA,2588771,7340766740.94114,NA,NA,NA,NA,3,0,2
tokyo-1964,Summer,1964,Japan,Nigeria,NGA,925,Other,Muslim,Asia,49012023,5552931318.82747,2,green,green,green,0,0,1
tokyo-1964,Summer,1964,Japan,Pakistan,PAK,804,Other,Muslim,NA,50799993,5204955900.88198,2,green,white,green,0,1,0
tokyo-1964,Summer,1964,Japan,Philippines,PHL,300,Other,Christian,Oceania,31643038,5953756194.80988,4,blue,blue,red,0,1,0
tokyo-1964,Summer,1964,Japan,Poland,POL,313,Other,Other,Europe,30993140,NA,2,white,white,red,7,6,10
tokyo-1964,Summer,1964,Japan,Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1
tokyo-1964,Summer,1964,Japan,Romania,ROU,237,Other,Other,Europe,18655407,NA,7,red,blue,red,2,4,6
tokyo-1964,Summer,1964,Japan,Soviet Union,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,33
tokyo-1964,Summer,1964,Japan,Sweden,SWE,450,Other,Christian,Europe,7661190,22718426804.3529,2,blue,blue,blue,2,2,4
tokyo-1964,Summer,1964,Japan,Switzerland,CHE,41,German,Christian,Europe,5789156,15833133857.6281,2,red,red,red,1,2,1
tokyo-1964,Summer,1964,Japan,Trinidad and Tobago,TTO,NA,NA,NA,NA,912973,711893367.55527,NA,NA,NA,NA,0,1,2
tokyo-1964,Summer,1964,Japan,Tunisia,TUN,164,Arabic,Muslim,Asia,4489874,1025866792.15686,2,red,red,red,0,1,1
tokyo-1964,Summer,1964,Japan,Turkey,NA,781,Other,Muslim,NA,31543071,NA,2,red,red,red,2,3,1
tokyo-1964,Summer,1964,Japan,United Kingdom,GBR,NA,NA,NA,NA,54009131,94407558351.1616,NA,NA,NA,NA,4,12,2
tokyo-1964,Summer,1964,Japan,United States,USA,NA,NA,NA,NA,192819456,684144620689.655,NA,NA,NA,NA,36,26,28
tokyo-1964,Summer,1964,Japan,Uruguay,URY,178,Spanish,Christian,S.America,2653182,1970588235.29412,3,white,white,white,0,0,1
tokyo-1964,Summer,1964,Japan,Yugoslavia,NA,256,Other,Other,Europe,NA,NA,4,red,blue,red,2,1,2
grenoble-1968,Winter,1968,France,Austria,AUT,84,German,Christian,Europe,7414628,12549016578.695,2,red,red,red,3,4,4
grenoble-1968,Winter,1968,France,Canada,CAN,9976,English,Christian,N.America,20734171,72048833006.1602,2,red,red,red,1,1,1
grenoble-1968,Winter,1968,France,Czechoslovakia,NA,128,Other,Other,Europe,NA,NA,3,white,white,red,1,2,1
grenoble-1968,Winter,1968,France,Federal Republic of Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3
grenoble-1968,Winter,1968,France,Finland,FIN,337,Other,Christian,Europe,4627350,8915770472.97601,2,white,white,white,1,2,2
grenoble-1968,Winter,1968,France,France,FRA,547,French,Christian,Europe,49947252,129785441507.456,3,white,blue,red,4,3,2
grenoble-1968,Winter,1968,France,German Democratic Republic (Germany),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2
grenoble-1968,Winter,1968,France,Italy,ITA,301,Other,Christian,Europe,52712156,91275077144.6618,3,white,green,red,4,0,0
grenoble-1968,Winter,1968,France,Netherlands,NLD,41,Other,Christian,Europe,12740849,30053405731.0167,3,red,red,blue,3,3,3
grenoble-1968,Winter,1968,France,Norway,NOR,324,Other,Christian,Europe,3816088,10227087165.2414,3,red,red,red,6,6,2
grenoble-1968,Winter,1968,France,Romania,ROU,237,Other,Other,Europe,19361050,NA,7,red,blue,red,0,0,1
grenoble-1968,Winter,1968,France,Soviet Union,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3
grenoble-1968,Winter,1968,France,Sweden,SWE,450,Other,Christian,Europe,7912122,31323283317.2145,2,blue,blue,blue,3,2,3
grenoble-1968,Winter,1968,France,Switzerland,CHE,41,German,Christian,Europe,6067659,20712102793.8026,2,red,red,red,0,2,4
grenoble-1968,Winter,1968,France,United States,USA,NA,NA,NA,NA,203011021,940225000000,NA,NA,NA,NA,1,3,1
mexico-city-1968,Summer,1968,Mexico,Argentina,ARG,2777,Spanish,Christian,S.America,23150579,NA,2,blue,blue,blue,0,0,2
mexico-city-1968,Summer,1968,Mexico,Australia,AUS,7690,English,Christian,Oceania,12030011,32714085234.2536,3,blue,white,blue,5,7,5
mexico-city-1968,Summer,1968,Mexico,Austria,AUT,84,German,Christian,Europe,7414628,12549016578.695,2,red,red,red,0,2,2
mexico-city-1968,Summer,1968,Mexico,Belgium,BEL,31,Other,Christian,Europe,9549700,21654856965.4281,3,gold,black,red,0,1,1
mexico-city-1968,Summer,1968,Mexico,Brazil,BRA,8512,Other,Christian,S.America,90741242,NA,4,green,green,green,0,1,2
mexico-city-1968,Summer,1968,Mexico,Bulgaria,BGR,111,Other,Other,Europe,8370642,NA,5,red,white,red,2,4,3
mexico-city-1968,Summer,1968,Mexico,Cameroon,CMR,474,French,Christian,Asia,6125861,1046191217.79942,3,gold,green,gold,0,1,0
mexico-city-1968,Summer,1968,Mexico,Canada,CAN,9976,English,Christian,N.America,20734171,72048833006.1602,2,red,red,red,1,3,1
mexico-city-1968,Summer,1968,Mexico,Chinese Taipei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
mexico-city-1968,Summer,1968,Mexico,Cuba,CUB,115,Spanish,Other,N.America,8509525,NA,3,blue,blue,blue,0,4,0
mexico-city-1968,Summer,1968,Mexico,Czechoslovakia,NA,128,Other,Other,Europe,NA,NA,3,white,white,red,7,2,4
mexico-city-1968,Summer,1968,Mexico,Denmark,DNK,43,Other,Christian,Europe,4864801,13505573866.6667,2,red,red,red,1,4,3
mexico-city-1968,Summer,1968,Mexico,Ethiopia,ETH,1222,Other,Christian,Asia,26337932,2619948864.86506,3,green,green,red,1,1,0
mexico-city-1968,Summer,1968,Mexico,Federal Republic of Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,11,10
mexico-city-1968,Summer,1968,Mexico,Finland,FIN,337,Other,Christian,Europe,4627350,8915770472.97601,2,white,white,white,1,2,1
mexico-city-1968,Summer,1968,Mexico,France,FRA,547,French,Christian,Europe,49947252,129785441507.456,3,white,blue,red,7,3,5
mexico-city-1968,Summer,1968,Mexico,German Democratic Republic (Germany),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,7
mexico-city-1968,Summer,1968,Mexico,Greece,GRC,132,Other,Christian,Europe,8717917,10090674766.7032,2,blue,blue,blue,0,0,1
mexico-city-1968,Summer,1968,Mexico,Hungary,HUN,93,Other,Other,Europe,10244548,4870283626.18043,3,red,red,green,10,10,12
mexico-city-1968,Summer,1968,Mexico,India,IND,3268,Other,Other,NA,522716894,53085455870.6667,4,orange,orange,green,0,0,1
mexico-city-1968,Summer,1968,Mexico,Islamic Republic of Iran,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
mexico-city-1968,Summer,1968,Mexico,Italy,ITA,301,Other,Christian,Europe,52712156,91275077144.6618,3,white,green,red,3,4,9
mexico-city-1968,Summer,1968,Mexico,Jamaica,JAM,11,English,Christian,N.America,1833768,1083839132.92869,3,green,gold,gold,0,1,0
mexico-city-1968,Summer,1968,Mexico,Japan,JPN,372,Other,Other,NA,104237475,156897496759.128,2,white,white,white,11,7,7
mexico-city-1968,Summer,1968,Mexico,Kenya,KEN,583,Other,Other,Asia,10518827,1353295458.68182,4,red,black,green,3,4,2
mexico-city-1968,Summer,1968,Mexico,Mexico,MEX,1973,Spanish,Christian,N.America,47668308,29360000000,4,green,green,red,3,3,3
mexico-city-1968,Summer,1968,Mexico,Mongolia,MNG,1566,Other,Other,NA,1229931,NA,3,red,red,red,0,1,3
mexico-city-1968,Summer,1968,Mexico,Netherlands,NLD,41,Other,Christian,Europe,12740849,30053405731.0167,3,red,red,blue,3,3,1
mexico-city-1968,Summer,1968,Mexico,New Zealand,NZL,NA,NA,NA,NA,2754521,5228045647.393,NA,NA,NA,NA,1,0,2
mexico-city-1968,Summer,1968,Mexico,Norway,NOR,324,Other,Christian,Europe,3816088,10227087165.2414,3,red,red,red,1,1,0
mexico-city-1968,Summer,1968,Mexico,Pakistan,PAK,804,Other,Muslim,NA,56810514,8041999160.0168,2,green,white,green,1,0,0
mexico-city-1968,Summer,1968,Mexico,Poland,POL,313,Other,Other,Europe,32078387,NA,2,white,white,red,5,2,11
mexico-city-1968,Summer,1968,Mexico,Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1
mexico-city-1968,Summer,1968,Mexico,Romania,ROU,237,Other,Other,Europe,19361050,NA,7,red,blue,red,4,6,5
mexico-city-1968,Summer,1968,Mexico,Soviet Union,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,32,30
mexico-city-1968,Summer,1968,Mexico,Sweden,SWE,450,Other,Christian,Europe,7912122,31323283317.2145,2,blue,blue,blue,2,1,1
mexico-city-1968,Summer,1968,Mexico,Switzerland,CHE,41,German,Christian,Europe,6067659,20712102793.8026,2,red,red,red,0,1,4
mexico-city-1968,Summer,1968,Mexico,Tunisia,TUN,164,Arabic,Muslim,Asia,4879907,1214666666.66667,2,red,red,red,1,0,1
mexico-city-1968,Summer,1968,Mexico,Turkey,NA,781,Other,Muslim,NA,34921677,NA,2,red,red,red,2,0,0
mexico-city-1968,Summer,1968,Mexico,Uganda,UGA,236,Other,Other,Asia,9708633,1037379252.41495,5,gold,black,red,0,1,1
mexico-city-1968,Summer,1968,Mexico,United Kingdom,GBR,NA,NA,NA,NA,55240654,107759910067.889,NA,NA,NA,NA,5,5,3
mexico-city-1968,Summer,1968,Mexico,United States,USA,NA,NA,NA,NA,203011021,940225000000,NA,NA,NA,NA,45,28,34
mexico-city-1968,Summer,1968,Mexico,Venezuela,NA,912,Spanish,Christian,S.America,10697536,NA,7,red,gold,red,1,0,0
mexico-city-1968,Summer,1968,Mexico,Yugoslavia,NA,256,Other,Other,Europe,NA,NA,4,red,blue,red,3,3,2
sapporo-1972,Winter,1972,Japan,Austria,AUT,84,German,Christian,Europe,7543264,22059612476.9332,2,red,red,red,1,2,2
sapporo-1972,Winter,1972,Japan,Canada,CAN,9976,English,Christian,N.America,22230876,113463848873.624,2,red,red,red,0,1,0
sapporo-1972,Winter,1972,Japan,Czechoslovakia,NA,128,Other,Other,Europe,NA,NA,3,white,white,red,1,0,2
sapporo-1972,Winter,1972,Japan,Federal Republic of Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1
sapporo-1972,Winter,1972,Japan,Finland,FIN,337,Other,Christian,Europe,4639549,14743186119.8738,2,white,white,white,0,4,1
sapporo-1972,Winter,1972,Japan,France,FRA,547,French,Christian,Europe,51743877,203494148244.473,3,white,blue,red,0,1,2
sapporo-1972,Winter,1972,Japan,German Democratic Republic (Germany),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,7
sapporo-1972,Winter,1972,Japan,Italy,ITA,301,Other,Christian,Europe,54067562,145260039840.637,3,white,green,red,2,2,1
sapporo-1972,Winter,1972,Japan,Japan,JPN,372,Other,Other,NA,109238963,324933841268.585,2,white,white,white,1,1,1
sapporo-1972,Winter,1972,Japan,Netherlands,NLD,41,Other,Christian,Europe,13342780,54706557264.4878,3,red,red,blue,4,3,2
sapporo-1972,Winter,1972,Japan,Norway,NOR,324,Other,Christian,Europe,3932910,17358610849.701,3,red,red,red,2,5,5
sapporo-1972,Winter,1972,Japan,Poland,POL,313,Other,Other,Europe,33041994,NA,2,white,white,red,1,0,0
sapporo-1972,Winter,1972,Japan,Soviet Union,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5,3
sapporo-1972,Winter,1972,Japan,Spain,ESP,505,Spanish,Christian,Europe,34539861,59132415221.3306,2,red,red,red,1,0,0
sapporo-1972,Winter,1972,Japan,Sweden,SWE,450,Other,Christian,Europe,8122427,48954145808.8359,2,blue,blue,blue,1,1,2
sapporo-1972,Winter,1972,Japan,Switzerland,CHE,41,German,Christian,Europe,6261087,36844318854.2403,2,red,red,red,4,3,3
sapporo-1972,Winter,1972,Japan,United States,USA,NA,NA,NA,NA,212842574,1279110000000,NA,NA,NA,NA,3,2,3
munich-1972,Summer,1972,Federal Republic of Germany,Argentina,ARG,2777,Spanish,Christian,S.America,24644332,NA,2,blue,blue,blue,0,1,0
munich-1972,Summer,1972,Federal Republic of Germany,Australia,AUS,7690,English,Christian,Oceania,13304896,52040887850.4673,3,blue,white,blue,8,7,2
munich-1972,Summer,1972,Federal Republic of Germany,Austria,AUT,84,German,Christian,Europe,7543264,22059612476.9332,2,red,red,red,0,1,2
munich-1972,Summer,1972,Federal Republic of Germany,Belgium,BEL,31,Other,Christian,Europe,9694851,37209418018.5134,3,gold,black,red,0,2,0
munich-1972,Summer,1972,Federal Republic of Germany,Brazil,BRA,8512,Other,Christian,S.America,100146796,NA,4,green,green,green,0,0,2
munich-1972,Summer,1972,Federal Republic of Germany,Bulgaria,BGR,111,Other,Other,Europe,8579911,NA,5,red,white,red,6,10,5
munich-1972,Summer,1972,Federal Republic of Germany,Canada,CAN,9976,English,Christian,N.America,22230876,113463848873.624,2,red,red,red,0,2,3
munich-1972,Summer,1972,Federal Republic of Germany,Colombia,COL,1139,Spanish,Christian,S.America,21819571,8671358732.68486,3,gold,gold,red,0,1,2
munich-1972,Summer,1972,Federal Republic of Germany,Cuba,CUB,115,Spanish,Other,N.America,9123896,8135150891.92025,3,blue,blue,blue,3,1,4
munich-1972,Summer,1972,Federal Republic of Germany,Czechoslovakia,NA,128,Other,Other,Europe,NA,NA,3,white,white,red,2,4,2
munich-1972,Summer,1972,Federal Republic of Germany,Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3
munich-1972,Summer,1972,Federal Republic of Germany,Denmark,DNK,43,Other,Christian,Europe,4991568,23232379951.9376,2,red,red,red,1,0,0
munich-1972,Summer,1972,Federal Republic of Germany,Ethiopia,ETH,1222,Other,Christian,Asia,29374610,3520252938.32165,3,green,green,red,0,0,2
munich-1972,Summer,1972,Federal Republic of Germany,Federal Republic of Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,11,16
munich-1972,Summer,1972,Federal Republic of Germany,Finland,FIN,337,Other,Christian,Europe,4639549,14743186119.8738,2,white,white,white,3,1,4
munich-1972,Summer,1972,Federal Republic of Germany,France,FRA,547,French,Christian,Europe,51743877,203494148244.473,3,white,blue,red,2,4,7
munich-1972,Summer,1972,Federal Republic of Germany,German Democratic Republic (Germany),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,23,23
munich-1972,Summer,1972,Federal Republic of Germany,Ghana,GHA,239,English,Other,Asia,9438189,2116541353.38346,4,red,red,green,0,0,1
