"postcode","pc_numeric","pc_character","city","suburb","latitude","longitude","asking_price","offered_since","living_area","available_now","type_build","volume","nr_rooms","build_year","bedrooms","bathrooms","alarm","jacuzzi","sauna","bath"
"3111 AD","3111"," AD","Schiedam","De Plantage",51.9096,4.40547,1e+05,"6+ months",55,0,"Existing",140,2,"1988",1,1,0,0,0,0
"3342 GB","3342"," GB","Hendrik-Ido-Ambacht","De Sandeling",51.84011,4.625042,194000,"6+ months",99,0,"Existing",287,3,"1998",2,1,0,0,0,0
"3117 EK","3117"," EK","Schiedam","Schildersbuurt",51.91474,4.383467,89000,"6+ months",55,0,"Existing",150,2,"1927",1,1,0,0,0,0
"2931 WZ","2931"," WZ","Krimpen aan de Lek","Krimpen Centrum",51.89185,4.628143,155000,"6+ months",68,0,"Existing",177,2,"2012",1,1,0,0,0,1
"3112 VN","3112"," VN","Schiedam","Stationsbuurt",51.9202,4.41096,115000,"6+ months",70,0,"Existing",185,3,"1988",2,1,0,0,0,0
"3043 GJ","3043"," GJ","Rotterdam","Overschie",51.94336,4.428226,142500,"6+ months",85,0,"Existing",195,4,"1933",2,1,0,0,0,0
"2661 EA","2661"," EA","Bergschenhoek","Oosteindsche Ackers",51.99096,4.507662,595000,"1 week",126,0,"Existing",721,7,"1987",4,2,0,0,0,0
"3027 CJ","3027"," CJ","Rotterdam","Spangen",51.91471,4.435806,199000,"2 weeks",100,0,"Existing",300,4,"2007",3,1,0,0,0,0
"2992 GP","2992"," GP","Barendrecht","Nieuweland 5",51.85686,4.519868,159000,"6+ months",60,0,"Existing",180,3,"1998",2,1,0,0,0,0
"3261 KK","3261"," KK","Oud-Beijerland","Centrum-Noord",51.82859,4.412424,679000,"6+ months",220,0,"Existing",660,4,"2006",2,1,0,1,0,0
"2988 BA","2988"," BA","Ridderkerk","Rijsoord",51.8474,4.599621,460000,"1 week",135,0,"Existing",434,5,"1950",4,1,1,0,0,1
"2905 RA","2905"," RA","Capelle aan den IJssel","Bergenbuurt",51.9389,4.6031,145000,"6+ months",82,0,"Existing",246,3,"1978",2,1,0,0,0,0
"3082 WB","3082"," WB","Rotterdam","Oud-Charlois",51.88685,4.463558,125000,"6+ months",113,0,"Existing",365,5,"Before 1906",4,1,0,0,0,1
"3067 NZ","3067"," NZ","Rotterdam","Het Lage Land",51.93972,4.538292,109000,"6+ months",62,0,"Existing",160,3,"1964",2,1,0,0,0,0
"3112 PT","3112"," PT","Schiedam","Rotterdamsedijk",51.9158,4.409388,120000,"6+ months",60,0,"Existing",170,3,"1930",2,1,0,0,0,0
"3061 BH","3061"," BH","Rotterdam","Kralingen-West",51.9308,4.5088,298000,"6+ months",96,0,"Existing",330,3,"1989",2,1,0,0,0,0
"3111 BD","3111"," BD","Schiedam","Brandersbuurt",51.91784,4.396173,249000,"6+ months",125,0,"Existing",325,4,"1852",2,1,0,0,0,0
"2901 PD","2901"," PD","Capelle aan den IJssel","Puccini-buurt",51.91723,4.570985,209000,"6+ months",115,0,"Existing",310,4,"1997",2,1,0,0,0,1
"3344 GJ","3344"," GJ","Hendrik-Ido-Ambacht","Volgerlanden-West",51.83001,4.645915,375000,"2 weeks",151,0,"Existing",504,5,"2005",4,1,0,0,0,1
"3076 CC","3076"," CC","Rotterdam","Lombardijen",51.87745,4.517304,119750,"6+ months",66,0,"Existing",200,3,"1963",2,1,0,0,0,0
"2902 GD","2902"," GD","Capelle aan den IJssel","Schildersbuurt",51.92724,4.58193,109500,"6+ months",63,0,"Existing",215,3,"1964",2,1,0,0,0,1
"3021 DS","3021"," DS","Rotterdam","Middelland",51.92226,4.45634,164500,"6+ months",80,0,"Existing",230,3,"1994",2,2,0,0,0,0
"3195 GL","3195"," GL","Pernis Rotterdam","Pernis",51.89291,4.392313,163000,"6+ months",102,0,"Existing",265,3,"2003",2,1,0,0,0,1
"2914 AJ","2914"," AJ","Nieuwerkerk aan den IJssel","Zuidplas Noord",51.97323,4.612347,155000,"6+ months",76,0,"Existing",225,3,"1978",2,1,0,0,0,1
"3162 RD","3162"," RD","Rhoon","De Eilanden",51.85294,4.483649,159990,"6+ months",75,0,"Existing",230,3,"2001",2,1,0,0,0,0
"2903 HN","2903"," HN","Capelle aan den IJssel","Koperwiek",51.93172,4.587491,189500,"6+ months",90,0,"Existing",230,3,"1995",2,1,0,0,0,1
"3344 HD","3344"," HD","Hendrik-Ido-Ambacht","Volgerlanden-Oost",51.83752,4.647532,250000,"3 weeks",104,0,"Existing",354,4,"2007",3,1,0,0,0,0
"2902 GD","2902"," GD","Capelle aan den IJssel","Schildersbuurt",51.92693,4.582196,109500,"6+ months",63,0,"Existing",215,3,"1964",2,1,0,0,0,0
"3067 MZ","3067"," MZ","Rotterdam","Oosterflank",51.9485,4.560618,175000,"6+ months",90,0,"Existing",300,3,"1990",2,1,0,0,0,1
"2993 PB","2993"," PB","Barendrecht","Meerwede Zuidoost",51.85233,4.507656,299500,"2 weeks",149,0,"Existing",470,5,"1999",4,1,0,0,0,1
"3195 HG","3195"," HG","Pernis Rotterdam","Pernis",51.88825,4.394406,225000,"4 weeks",165,0,"Existing",625,6,"1900",4,1,0,0,0,1
"2992 NM","2992"," NM","Barendrecht","Nieuweland 4",51.85559,4.526782,375000,"4 weeks",140,0,"Existing",375,5,"1995",3,1,0,0,0,1
"2992 CR","2992"," CR","Barendrecht","Paddewei",51.85357,4.534149,229000,"5 weeks",125,0,"Existing",310,5,"1968",4,1,0,0,0,1
"2992 HL","2992"," HL","Barendrecht","Bijdorp",51.85988,4.524777,289500,"5 weeks",130,0,"Existing",390,5,"1998",4,1,0,0,0,1
"3161 HD","3161"," HD","Rhoon","Ghijseland",51.85688,4.424633,549000,"6 weeks",150,0,"Existing",600,5,"1920",4,1,0,0,0,0
"2841 AM","2841"," AM","Moordrecht","Bloemenbuurt",51.9896,4.67283,219000,"7 weeks",116,0,"Existing",360,5,"1970",4,1,0,0,0,1
"3077 ZG","3077"," ZG","Rotterdam","Oud-IJsselmonde",51.90228,4.551175,225000,"7 weeks",100,0,"Existing",310,4,"1998",3,1,0,0,0,0
"2992 HL","2992"," HL","Barendrecht","Bijdorp",51.85997,4.525232,285000,"7 weeks",130,0,"Existing",390,5,"1998",4,1,0,0,0,1
"2993 TB","2993"," TB","Barendrecht","Meerwede Noordwest",51.85444,4.495425,265000,"8 weeks",130,0,"Existing",380,5,"2000",4,1,0,0,0,0
"2645 GK","2645"," GK","Delfgauw","Emerald",52.00669,4.394429,375000,"2 months",135,0,"Existing",476,5,"1997",4,1,0,0,0,1
"3042 CG","3042"," CG","Rotterdam","Kleinpolder",51.93258,4.43466,499500,"3 months",178,0,"Existing",632,6,"1934",5,2,0,0,0,1
"2991 BS","2991"," BS","Barendrecht","Oranjewijk 1",51.84934,4.557268,735000,"3 months",220,0,"Existing",800,5,"1993",4,2,0,0,0,0
"3111 BT","3111"," BT","Schiedam","Walvisbuurt",51.9138,4.39814,143900,"4 months",86,0,"Existing",215,3,"1977",2,1,0,0,0,1
"3161 KA","3161"," KA","Rhoon","Rhoon Noord",51.865,4.42312,447500,"4 months",125,0,"Existing",377,5,"1986",3,1,0,0,0,1
"2651 NL","2651"," NL","Berkel en Rodenrijs","Rodenrijse Zoom",51.98565,4.472579,347500,"4 months",155,0,"Existing",500,4,"2007",3,1,0,0,0,0
"2911 RB","2911"," RB","Nieuwerkerk aan den IJssel","Esse Laag",51.9628,4.61513,255000,"6+ months",130,0,"Existing",425,5,"1997",4,1,0,0,0,NA
"3076 GX","3076"," GX","Rotterdam","Lombardijen",51.87394,4.513885,149500,"6+ months",77,0,"Existing",215,3,"1961",2,1,0,0,0,0
"3079 DK","3079"," DK","Rotterdam","Groot-IJsselmonde",51.87847,4.540777,174500,"6+ months",91,0,"Existing",300,3,"1928",2,1,0,0,0,0
"2992 GE","2992"," GE","Barendrecht","Nieuweland 5",51.85804,4.525605,685000,"6+ months",170,0,"Existing",500,5,"1997",4,1,1,0,0,1
"3124 TK","3124"," TK","Schiedam","Sveaborg en -Dal",51.9458,4.3825,349500,"6+ months",133,0,"Existing",440,6,"2006",4,1,0,0,0,1
"3274 AN","3274"," AN","Heinenoord","Heinenoord",51.8283,4.473773,389000,"6+ months",160,0,"Existing",575,5,"1969",4,1,1,0,0,1
"2911 CL","2911"," CL","Nieuwerkerk aan den IJssel","Verspreide huizen Esse Polder",51.96306,4.622679,1175000,"6+ months",355,0,"Existing",1100,11,"1949",10,2,0,0,0,1
"2992 ZE","2992"," ZE","Barendrecht","Kilweg",51.84464,4.530545,239000,"2 weeks",108,0,"Existing",380,4,"2009",3,1,0,0,0,1
"3068 AD","3068"," AD","Rotterdam","Ommoord",51.9559,4.534859,240000,"2 weeks",141,0,"Existing",375,5,"1973",4,1,0,0,0,0
"2907 LH","2907"," LH","Capelle aan den IJssel","Stadsdeelpark",51.9493,4.598238,498000,"2 weeks",160,0,"Existing",501,3,"1998",2,2,0,0,0,1
"3343 CT","3343"," CT","Hendrik-Ido-Ambacht","Krommeweg-Zuid",51.83668,4.625346,2e+05,"6 weeks",93,0,"Existing",390,4,"1981",3,1,0,0,0,0
"3059 RA","3059"," RA","Rotterdam","Nesselande",51.98324,4.590899,235000,"3 weeks",110,0,"Existing",315,4,"2001",2,1,0,0,0,1
"2904 PA","2904"," PA","Capelle aan den IJssel","Paradijssel",51.92717,4.608159,425000,"7 weeks",199,0,"Existing",510,6,"1999",3,1,0,0,0,0
"3024 EZ","3024"," EZ","Rotterdam","Schiemond",51.90337,4.458657,375000,"2 months",122,0,"Existing",582,5,"2007",3,1,0,0,0,1
"3343 DR","3343"," DR","Hendrik-Ido-Ambacht","Krommeweg-Noord",51.84157,4.641342,425000,"7 weeks",128,0,"Existing",569,3,"1989",2,1,0,0,0,0
"3075 WK","3075"," WK","Rotterdam","Vreewijk",51.88919,4.516074,175000,"2 months",125,0,"Existing",325,4,"1991",3,1,0,0,0,0
"2935 AB","2935"," AB","Ouderkerk aan den IJssel","Ouderkerk aan de IJssel",51.93541,4.633835,2e+05,"3 months",100,0,"Existing",330,5,"1680",2,1,0,0,0,1
"2925 BN","2925"," BN","Krimpen aan den IJssel","Langeland",51.91824,4.616795,339000,"7 weeks",190,0,"Existing",590,7,"1971",5,1,0,0,0,1
"2989 AE","2989"," AE","Ridderkerk","Oostendam",51.85437,4.642872,825000,"3 months",256,0,"Existing",827,4,"1906",3,1,0,0,0,1
"3341 VB","3341"," VB","Hendrik-Ido-Ambacht","Oostendam",51.8475,4.63946,188000,"3 months",97,0,"Existing",342,5,"1960",4,1,0,0,0,0
"3263 SB","3263"," SB","Oud-Beijerland","Spuioeverwijk",51.82998,4.402012,369000,"4 months",143,0,"Existing",455,6,"1989",5,1,0,0,0,1
"2661 PB","2661"," PB","Bergschenhoek","Bergsche Ackers",51.99384,4.496752,425000,"4 months",150,0,"Existing",500,5,"1995",4,1,0,0,0,1
"3343 EG","3343"," EG","Hendrik-Ido-Ambacht","Krommeweg-Zuid",51.83573,4.637536,2e+05,"4 months",115,0,"Existing",383,5,"1982",4,1,0,0,0,0
"3343 NG","3343"," NG","Hendrik-Ido-Ambacht","Krommeweg-Zuid",51.83623,4.635931,179000,"8 weeks",95,0,"Existing",308,4,"1981",3,1,0,0,0,0
"3065 AE","3065"," AE","Rotterdam","'s-Gravenland",51.92518,4.540624,845000,"5 months",180,0,"Existing",650,4,"1929",3,2,0,0,0,1
"2925 AE","2925"," AE","Krimpen aan den IJssel","Langeland",51.91803,4.612216,375000,"5 months",200,0,"Existing",720,6,"1973",5,1,0,0,0,1
"3069 WK","3069"," WK","Rotterdam","Zevenkamp",51.96782,4.567077,165000,"6+ months",110,0,"Existing",350,5,"1986",4,1,0,0,0,0
"2841 CC","2841"," CC","Moordrecht","Staatsliedenbuurt/Vijfakkers",51.98447,4.663797,185000,"5 months",93,0,"Existing",299,4,"1965",2,1,0,0,0,1
"3341 LK","3341"," LK","Hendrik-Ido-Ambacht","Oostendam",51.85284,4.645742,250000,"5 months",89,0,"Existing",469,4,"1942",3,1,0,0,0,0
"2652 BS","2652"," BS","Berkel en Rodenrijs","Havenbuurt",51.9968,4.46147,250000,"6+ months",115,0,"Existing",352,5,"2003",3,1,0,0,0,1
"3342 XL","3342"," XL","Hendrik-Ido-Ambacht","Dorp",51.8469,4.634799,269000,"6+ months",110,0,"Existing",441,5,"1963",4,2,0,0,0,1
"2935 XW","2935"," XW","Ouderkerk aan den IJssel","Ouderkerk aan de IJssel",51.93256,4.639992,175000,"6+ months",102,0,"Existing",285,4,"1963",3,1,0,0,0,1
"3342 BM","3342"," BM","Hendrik-Ido-Ambacht","Dorp",51.8496,4.629148,350000,"6+ months",120,0,"Existing",465,6,"1975",5,1,0,0,0,0
"2661 CM","2661"," CM","Bergschenhoek","Dorp Bergschenhoek",51.98452,4.499432,419000,"6+ months",145,0,"Existing",455,4,"1958",3,2,0,0,0,1
"2652 BS","2652"," BS","Berkel en Rodenrijs","Havenbuurt",51.99694,4.461078,250000,"6+ months",122,0,"Existing",377,5,"2003",3,1,0,0,0,1
"3342 BN","3342"," BN","Hendrik-Ido-Ambacht","Dorp",51.84826,4.633772,145000,"6+ months",86,0,"Existing",300,4,"1960",3,1,0,0,0,1
"3033 AB","3033"," AB","Rotterdam","Provenierswijk",51.93011,4.468858,6e+05,"6+ months",220,0,"Existing",630,6,"1898",5,3,0,0,0,1
"3341 CZ","3341"," CZ","Hendrik-Ido-Ambacht","Oostendam",51.84652,4.644264,175000,"6+ months",70,0,"Existing",247,4,"1957",3,1,0,0,0,0
"2662 CS","2662"," CS","Bergschenhoek","Eilandenbuurt",51.987,4.488959,625000,"6+ months",200,0,"Existing",670,6,"2001",5,1,0,0,0,1
"3082 DS","3082"," DS","Rotterdam","Oud-Charlois",51.89291,4.464229,164500,"1 week",97,0,"Existing",260,4,"2006",3,1,0,0,0,0
"2651 AZ","2651"," AZ","Berkel en Rodenrijs","Vlinderstrik",51.97598,4.458498,449000,"6+ months",150,0,"Existing",795,8,"1977",4,1,0,0,0,1
"3342 BA","3342"," BA","Hendrik-Ido-Ambacht","Dorp",51.85049,4.62967,3e+05,"6+ months",97,0,"Existing",356,4,"1985",3,1,0,0,0,1
"2904 PA","2904"," PA","Capelle aan den IJssel","Paradijssel",51.92683,4.609179,425000,"6+ months",224,0,"Existing",682,6,"1999",5,1,1,0,0,1
"2985 AR","2985"," AR","Ridderkerk","Ridderkerk-Oost",51.86331,4.597892,395000,"6+ months",97,0,"Existing",347,3,"1930",2,1,0,0,0,0
"3274 BH","3274"," BH","Heinenoord","Goidschalxoord",51.828,4.455166,440000,"6+ months",370,0,"Existing",1550,10,"1975",5,2,0,0,0,1
"2931 AH","2931"," AH","Krimpen aan de Lek","Krimpen-Oost",51.8946,4.63932,650000,"6+ months",230,0,"Existing",595,4,"1970",3,1,0,0,0,1
"2909 TH","2909"," TH","Capelle aan den IJssel","Fascinatio West",51.91853,4.540641,269000,"6+ months",140,0,"Existing",350,5,"2008",4,1,0,0,0,1
"3162 VK","3162"," VK","Rhoon","De Eilanden",51.85089,4.488495,207500,"5 weeks",104,0,"Existing",325,5,"2003",3,1,0,0,0,1
"2992 WH","2992"," WH","Barendrecht","Molenvliet 1",51.85026,4.535419,137000,"7 weeks",60,0,"Existing",170,2,"1985",1,1,0,0,0,0
"2994 EC","2994"," EC","Barendrecht","Vrijenburg",51.85957,4.501756,225000,"3 months",112,0,"Existing",350,4,"2005",3,1,0,0,0,1
"3076 BZ","3076"," BZ","Rotterdam","Lombardijen",51.88117,4.523246,98223,"3 months",61,0,"Existing",187,3,"1962",2,1,0,0,0,0
"3056 AK","3056"," AK","Rotterdam","Terbregge",51.95092,4.520823,239500,"3 months",95,0,"Existing",330,3,"2002",2,1,0,0,0,0
"3069 CP","3069"," CP","Rotterdam","Ommoord",51.9644,4.54343,117500,"5 months",60,0,"Existing",175,2,"1972",1,1,0,0,0,0
"3069 CP","3069"," CP","Rotterdam","Ommoord",51.96437,4.543432,109500,"6+ months",60,0,"Existing",175,2,"1972",1,1,0,0,0,0
"3119 VE","3119"," VE","Schiedam","Schiehart",51.92343,4.399943,192500,"6+ months",83,0,"Existing",251,3,"2003",2,1,0,0,0,1
"3117 WC","3117"," WC","Schiedam","Schildersbuurt",51.91342,4.383229,98000,"6+ months",61,0,"Existing",202,2,"1930",1,1,0,0,0,1
"2905 PD","2905"," PD","Capelle aan den IJssel","Bergenbuurt",51.9397,4.60156,159000,"6+ months",85,0,"Existing",235,3,"1976",2,1,0,0,0,1
"3051 XR","3051"," XR","Rotterdam","Hillegersberg-Zuid",51.9453,4.467673,119000,"6+ months",57,0,"Existing",195,3,"1931",1,1,0,0,0,0
"2993 DL","2993"," DL","Barendrecht","Meerwede Zuidoost",51.8486,4.501833,189000,"6+ months",90,0,"Existing",235,3,"2006",2,1,0,0,0,0
"3083 XN","3083"," XN","Rotterdam","Carnisse",51.88938,4.475155,82500,"6+ months",50,0,"Existing",150,3,"1947",2,1,0,0,0,0
"2922 CD","2922"," CD","Krimpen aan den IJssel","Kortland-Noord",51.91986,4.59204,149000,"6+ months",75,1,"Existing",195,3,"1965",2,1,0,0,0,1
"2652 AD","2652"," AD","Berkel en Rodenrijs","Rivierenbuurt",51.99994,4.463448,297500,"6+ months",120,0,"Existing",324,4,"2009",3,1,0,0,0,1
"3112 BS","3112"," BS","Schiedam","Rotterdamsedijk",51.91502,4.403308,90000,"6+ months",65,0,"Existing",175,3,"1933",2,1,0,0,0,1
"3062 HD","3062"," HD","Rotterdam","Kralingen-Oost",51.926,4.5197,225000,"2 weeks",91,0,"Existing",250,3,"1958",2,1,0,0,0,0
"3043 GH","3043"," GH","Rotterdam","Overschie",51.94312,4.427242,99000,"2 weeks",48,0,"Existing",215,2,"1929",1,1,0,0,0,0
"2987 VW","2987"," VW","Ridderkerk","Bolnes",51.88791,4.580371,113000,"3 weeks",62,0,"Existing",180,2,"1977",1,1,0,0,0,0
"3069 ZD","3069"," ZD","Rotterdam","Zevenkamp",51.97057,4.575844,230000,"<1 week",125,0,"Existing",415,5,"1989",4,1,0,0,0,1
"2907 PB","2907"," PB","Capelle aan den IJssel","Burgenbuurt",51.95015,4.577885,150000,"4 weeks",135,0,"Existing",375,5,"1980",4,1,0,0,0,1
"2661 RA","2661"," RA","Bergschenhoek","Oosteindsche Ackers",51.99426,4.501715,375000,"<1 week",144,0,"Existing",574,5,"1997",4,1,0,0,0,1
"3062 DC","3062"," DC","Rotterdam","Kralingen-Oost",51.92721,4.516101,450000,"2 months",145,0,"Existing",420,7,"1924",5,1,0,0,0,1
"3023 EX","3023"," EX","Rotterdam","Nieuwe Westen",51.91049,4.451376,114000,"2 months",53,0,"Existing",200,3,"1896",1,1,0,0,0,0
"3063 AD","3063"," AD","Rotterdam","Struisenburg",51.918,4.51365,350000,"2 months",120,0,"Existing",322,3,"1969",2,1,0,0,0,0
"3066 HG","3066"," HG","Rotterdam","Prinsenland",51.93014,4.545094,559000,"2 months",180,0,"Existing",465,4,"1994",3,2,1,0,0,0
"2662 CT","2662"," CT","Bergschenhoek","Eilandenbuurt",51.98749,4.488143,450000,"2 weeks",149,0,"Existing",536,5,"2002",4,1,0,0,0,1
"3112 PC","3112"," PC","Schiedam","Rotterdamsedijk",51.91533,4.409444,125000,"4 months",78,0,"Existing",195,3,"1935",2,1,0,0,0,1
"3112 AC","3112"," AC","Schiedam","Rotterdamsedijk",51.91364,4.411737,108000,"5 months",70,1,"Existing",215,3,"1951",2,1,0,0,0,1
"3038 JW","3038"," JW","Rotterdam","Bergpolder",51.93238,4.468326,229000,"5 months",113,0,"Existing",294,3,"2004",2,1,0,0,0,0
"3042 HW","3042"," HW","Rotterdam","Kleinpolder",51.93579,4.439935,245000,"6 weeks",110,0,"Existing",337,5,"1997",4,1,0,0,0,0
"2926 PH","2926"," PH","Krimpen aan den IJssel","Lansingh-Zuid",51.90829,4.602122,2e+05,"6+ months",122,0,"Existing",350,3,"1997",2,2,0,0,0,1
"2651 NM","2651"," NM","Berkel en Rodenrijs","Rodenrijse Zoom",51.98624,4.475249,233325,"6+ months",97,0,"Existing",390,4,"2013",2,1,0,0,0,0
"3116 HB","3116"," HB","Schiedam","Piet Sandersbuurt",51.9078,4.39886,2e+05,"6+ months",120,0,"Existing",345,3,"1996",2,1,0,0,0,1
"3063 DJ","3063"," DJ","Rotterdam","Struisenburg",51.91668,4.515591,239000,"6+ months",93,0,"Existing",250,3,"1991",2,1,0,0,0,1
"2911 EN","2911"," EN","Nieuwerkerk aan den IJssel","Esse Hoog",51.95968,4.616247,298000,"6+ months",87,0,"Existing",250,2,"1994",1,1,0,0,0,1
"3083 HC","3083"," HC","Rotterdam","Carnisse",51.88866,4.478519,77500,"6+ months",57,0,"Existing",165,2,"1906",1,1,0,1,0,0
"2986 JA","2986"," JA","Ridderkerk","Drievliet",51.866,4.619715,2e+05,"6+ months",74,0,"Existing",230,3,"2009",2,1,0,0,0,0
"3342 GD","3342"," GD","Hendrik-Ido-Ambacht","De Sandeling",51.841,4.62108,195000,"4 weeks",90,0,"Existing",260,3,"1995",2,1,0,0,0,0
"3039 LN","3039"," LN","Rotterdam","Blijdorp",51.92899,4.463391,289000,"6+ months",155,0,"Existing",400,7,"1936",4,3,0,0,0,1
"3112 VN","3112"," VN","Schiedam","Stationsbuurt",51.92015,4.410955,118000,"6+ months",85,0,"Existing",235,3,"1988",2,1,0,0,0,1
"3117 PZ","3117"," PZ","Schiedam","Schrijversbuurt",51.91327,4.386531,125000,"6+ months",105,0,"Existing",270,4,"1928",3,1,0,0,0,1
"3082 PG","3082"," PG","Rotterdam","Oud-Charlois",51.88848,4.461983,85000,"6+ months",90,0,"Existing",250,4,"1939",3,1,0,0,0,1
"3077 MJ","3077"," MJ","Rotterdam","Oud-IJsselmonde",51.89742,4.524823,150000,"6+ months",85,0,"Existing",244,3,"1998",2,1,0,0,0,1
